shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
5-1-5,41.7657937930794,140.721741914749,22
5-1-5,41.766647790475,140.722779025868,23
5-1-5,41.76694,140.723082857143,24
5-1-5,41.7673562217253,140.723487158149,25
5-1-5,41.7680689333802,140.724231004715,26
5-1-5,41.769575,140.725688571429,27
5-1-5,41.7709346035001,140.726870181983,28
5-1-5,41.77226,140.727794285714,29
5-1-5,41.7725938400932,140.728029361888,30
5-1-5,41.7726636877291,140.728156009374,31
5-1-5,41.7726549048416,140.728354551043,32
5-1-5,41.7711987013468,140.7325566979,33
5-1-5,41.7711681671839,140.732717630441,34
5-1-5,41.7712151615647,140.73287124552,35
5-1-5,41.7713,140.733,36
5-1-5,41.7728069341326,140.734384156908,37
5-1-5,41.77352,140.7353,38
5-1-5,41.77578,140.7381,39
5-1-5,41.776701828555,140.739278197289,40
5-1-5,41.77788,140.7407,41
5-1-5,41.78044,140.744,42
5-1-5,41.78391,140.7483,43
5-1-5,41.7857970609847,140.75066983163,44
5-1-5,41.7859365617743,140.750768722507,45
5-1-5,41.78654,140.7509,46
5-1-5,41.7891084284891,140.751529302543,47
5-1-5,41.7891906655247,140.751591344207,48
5-1-5,41.7892636644157,140.751718428203,49
5-1-5,41.789275,140.751945714286,50
5-1-5,41.7889704214524,140.755019381932,51
5-1-5,41.78876,140.7581,52
5-1-5,41.7886897047162,140.759069517544,53
5-1-5,41.7880177332751,140.764228192847,54
5-1-5,41.78795,140.7651,55
