stop_id,stop_name,route_count,total_daily_trips,p_morning,p_daytime,p_night,latitude,longitude,elevation,osm_node_id,osm_node_dist
S0158,戸倉ヶ丘団地入口,1,34,0.3935,0.4927,0.2926,41.782669,140.801865,33.3,5545572054,11.6
S0159,戸倉中学校下,9,381,0.9994,0.9979,0.9893,41.782669,140.801865,33.3,5545572054,11.6
S0160,戸倉町,9,381,0.9994,0.9979,0.9893,41.782669,140.801865,33.3,5545572054,11.6
S0161,支援学入口,1,34,0.5831,0.4353,0.2926,41.82501111,140.6473861,2.9,505082286,4445.7
S0162,支援学校入口,7,288,0.9994,0.9917,0.9269,41.82501111,140.6473861,2.9,505082286,4445.7
S0163,放光寺,1,21,0.3935,0.2212,0.2649,41.895721,140.694412,78.0,1620297125,5306.7
S0164,教育大通,6,192,0.9972,0.9664,0.8422,41.82102379,140.7472024,32.3,667396900,22.1
S0165,新世橋,7,318,0.9994,0.9962,0.981,41.760963,140.847366,29.1,5494199386,78.7
S0166,新函館北斗駅,1,23,0.4647,0.3486,0.1426,41.906414,140.643463,28.4,1620295510,8280.8
S0167,新川町,24,1176,1.0,1.0,1.0,41.773745,140.7356,3.6,501903386,5.1
S0168,新都市病院前,12,465,0.9994,0.9996,0.9949,41.760963,140.847366,29.1,5494199386,78.7
S0169,新都市病院正門前,5,226,0.9996,0.9817,0.8647,41.760963,140.847366,29.1,5494199386,78.7
S0170,日吉営業所前,8,273,0.9994,0.9885,0.9397,41.78849,140.790161,27.8,5613261863,60.2
S0171,日吉四丁目団地,1,43,0.8031,0.5105,0.3193,41.78849,140.790161,27.8,5613261863,60.2
S0172,日吉町１丁目,17,718,0.9994,0.9994,0.9998,41.78849,140.790161,27.8,5613261863,60.2
S0173,日吉町４丁目,4,122,0.9889,0.8494,0.719,41.803566,140.793091,47.2,8431959505,36.5
S0174,日吉自由が丘団地,3,108,0.9436,0.8439,0.6965,41.78849,140.790161,27.8,5613261863,60.2
S0175,旭岡中学校前,3,116,0.9561,0.8494,0.7398,41.800659,140.836044,91.0,5508804925,138.5
S0176,旭岡公園前,2,99,0.9436,0.8134,0.6177,41.800659,140.836044,91.0,5508804925,138.5
S0177,旭岡団地,5,215,0.9981,0.9729,0.9079,41.800659,140.836044,91.0,5508804925,138.5
S0178,旭岡小学校前,5,215,0.9981,0.9729,0.9079,41.800659,140.836044,91.0,5508804925,138.5
S0179,旭岡幼稚園前,5,215,0.9981,0.9729,0.9079,41.800659,140.836044,91.0,5508804925,138.5
S0180,旭岡生協前,1,19,0.2212,0.2749,0.2061,41.800659,140.836044,91.0,5508804925,138.5
S0181,旭町,1,12,0.2212,0.1016,0.1426,41.76683,140.728012,1.9,757022309,12.1
S0182,明治館前,1,48,0.5831,0.5105,0.48,41.895721,140.694412,78.0,1620297125,5306.7
S0183,昭和,9,363,0.9994,0.998,0.9843,41.816319,140.743484,22.4,5770892532,14.5
S0184,昭和ターミナル,23,912,0.9994,0.9994,0.9994,41.816319,140.743484,22.4,5770892532,14.5
S0185,昭和営業所前,17,616,0.9994,0.9994,0.9991,41.816319,140.743484,22.4,5770892532,14.5
S0186,昭和営業所前／昭和ターミナル,1,31,0.3935,0.3935,0.345,41.816319,140.743484,22.4,5770892532,14.5
S0187,昭和小学校前,13,477,0.9994,0.9998,0.994,41.816319,140.743484,22.4,5770892532,14.5
S0188,昭和橋,24,1176,1.0,1.0,1.0,41.816319,140.743484,22.4,5770892532,14.5
S0189,昭和通,6,168,0.9924,0.9446,0.836,41.816319,140.743484,22.4,5770892532,14.5
S0190,昭和通・小笹内科医院,2,67,0.9276,0.6575,0.4596,41.816319,140.743484,22.4,5770892532,14.5
S0191,昭和高台,13,477,0.9994,0.9998,0.994,41.816319,140.743484,22.4,5770892532,14.5
S0192,昭和１丁目,6,225,0.9985,0.9789,0.9114,41.816319,140.743484,22.4,5770892532,14.5
S0193,昭和２丁目,13,477,0.9994,0.9998,0.994,41.813587,140.738708,14.4,1923740735,12.8
S0194,時任町,1,31,0.3935,0.3935,0.345,41.783077,140.753845,12.8,4778686502,27.4
S0195,本通中学校前,3,110,0.9276,0.8494,0.7398,41.798523,140.763077,14.1,1912701831,20.2
S0196,本通小学校前,3,110,0.9276,0.8494,0.7398,41.798523,140.763077,14.1,1912701831,20.2
S0197,本通小学校裏,5,177,0.9948,0.9465,0.8594,41.798523,140.763077,14.1,1912701831,20.2
S0198,本通新橋,2,67,0.9276,0.6575,0.4596,41.798523,140.763077,14.1,1912701831,20.2
S0199,本通１丁目,3,110,0.9276,0.8494,0.7398,41.798523,140.763077,14.1,1912701831,20.2
S0200,杉並町,13,944,1.0,1.0,1.0,41.78869,140.75875,17.9,12809400013,6.5
S0201,東久根別,4,118,0.9658,0.8439,0.7496,41.825943,140.680282,3.8,472636152,2190.8
S0202,東山ゴルフ場,1,52,0.7135,0.6575,0.3697,41.812267,140.771393,28.8,1923679186,57.6
