node_id,longitude,latitude,elevation,degree,store_density_500m,supermarket_density_500m,stop_density_500m,dist_to_mirai_m,dist_to_station_m,cluster_id
324961173,140.7160625,41.830137,9.294564672804132,6,0,0,1,4406.806836354988,6482.056067503605,0
324961184,140.7199077,41.825439,9.741153488743477,6,1,0,0,4302.116155842351,5922.6040234166585,0
324961185,140.7218747,41.8240279,8.902765920700483,2,1,0,0,4228.077116615108,5750.330167887856,2
324961208,140.7199093,41.8253573,9.50992896519926,4,1,0,0,4305.8992519948015,5913.570193287866,2
324961698,140.7371312,41.8240624,24.850015258933535,6,6,0,0,3173.588008918327,5781.206963348123,0
324961709,140.7323347,41.8255718,20.458937928152707,4,2,0,0,3396.605976445543,5910.438629668688,0
324961714,140.7315597,41.8255489,19.395673242588547,6,2,0,5,3451.9802868048846,5904.373809647804,0
324961717,140.725934,41.8254471,14.268337976735689,4,1,0,0,3858.501578591618,5888.223242453863,2
324961719,140.7219575,41.8253864,11.123566283563054,6,1,0,0,4152.600370860596,5900.109409812539,0
324961987,140.7494188,41.8168316,29.580454273987726,4,37,2,18,3155.6594102909025,5235.772010350956,3
324961988,140.7488205,41.8170827,29.433997548103378,6,28,2,19,3154.098402711019,5245.67133041913,3
324962184,140.7538816,41.8149576,31.122661137036477,4,53,3,6,3199.245047188768,5180.842683471767,7
326603613,140.7133841,41.7617344,37.23965624789059,6,0,0,2,9959.955840985343,1696.0469579964456,6
326603656,140.720096,41.7627638,3.0747769590874214,8,0,0,2,9621.83377234757,1260.184935264215,6
326603686,140.7190448,41.7642937,4.806898373667414,6,0,0,3,9502.254993265718,1170.8963083930691,6
327346402,140.7368478,41.8347332,36.465009286127305,6,4,1,0,2617.9755068321033,6955.8475181549275,0
327346536,140.7510374,41.8200088,37.26363011361959,8,33,2,7,2781.150418923702,5613.119316327924,3
327346541,140.7497747,41.8214822,36.66917189598814,6,30,2,5,2691.6899549513987,5733.925824197494,3
327346567,140.7462945,41.8253574,36.40745030665345,8,18,1,10,2522.2302398058746,6066.538134686045,3
327346570,140.7450295,41.826668,35.275706143011185,6,16,1,9,2492.0479408988026,6183.127874121488,3
327346573,140.7443668,41.8274116,34.375444847472764,8,9,1,8,2477.093580091846,6251.5729488138295,3
327346585,140.7406143,41.8320559,37.38782030781451,5,8,1,9,2444.6069931048683,6701.293020731747,3
327346588,140.7396584,41.8333593,38.03164495456297,6,6,1,8,2454.608148692405,6832.834664071563,3
327346600,140.7387044,41.8340881,37.797595409157395,6,5,1,8,2497.328392892586,6902.497223684839,3
327348148,140.7393995,41.8429193,52.575902651510575,6,1,1,1,2279.9810934896377,7883.216094065328,0
327348209,140.7369828,41.8347341,36.61613558830188,6,4,1,0,2607.3600907776618,6957.124520313392,0
327351475,140.7420062,41.8300912,35.794555069274146,6,7,2,7,2453.9078840887287,6505.164553257534,3
327355850,140.7623015,41.8169882,36.68567853474555,8,6,0,2,2811.6736216924883,5698.3177046888895,0
327356837,140.7599976,41.8136139,30.582019806748814,6,33,2,2,3212.126311476499,5278.578749246897,7
327361210,140.7623936,41.7893067,17.751109721293375,6,5,2,4,5872.482194757167,3398.563258973173,5
327361663,140.7614579,41.795498,14.798431727627964,8,3,1,6,5192.510227621423,3763.587857105452,0
327362292,140.7616439,41.7975931,13.945193456544349,6,2,1,5,4959.301260130951,3936.33609474754,0
327362323,140.7621597,41.7985589,14.015665932506842,8,2,1,5,4848.741036228948,4042.682208867312,0
327362326,140.7634947,41.8001328,15.134955187123852,6,3,1,8,4666.360144776222,4245.0460974086,5
327362340,140.7659015,41.8029755,16.786297255973253,10,2,0,3,4342.475063628813,4611.263608957037,0
327362343,140.7682551,41.8056163,19.864946751450898,6,8,2,4,4049.418334978472,4958.885794304169,5
327362362,140.7711109,41.8085647,24.823209613368768,6,7,1,12,3735.893567981912,5360.114335123922,3
327364103,140.7738233,41.7968577,12.788273503637056,8,7,0,0,5052.552644675369,4651.111573907643,2
327364703,140.7736864,41.7879862,14.413624105367544,8,5,1,2,6032.014370151666,4144.633166192414,2
327365839,140.7685975,41.7875836,17.718101264371608,6,5,3,2,6052.965614308398,3746.627259562298,7
327373992,140.8105714,41.7852153,13.082412046763215,6,6,1,0,7265.669601716475,6957.752669239291,0
327376207,140.8103846,41.7770978,19.875092835965383,6,1,1,0,8054.972905228263,6816.148520864208,0
327376285,140.8114474,41.7805429,14.355186120834505,8,2,1,0,7754.999629105724,6942.58857268121,0
327376289,140.811028,41.7809703,13.17779502199999,6,4,1,0,7696.803786557844,6914.604609814258,0
327376292,140.8107879,41.7812145,12.503602958352952,6,5,1,0,7663.538419600917,6898.750847801813,0
327376298,140.810538,41.7815831,11.546145988508126,6,5,1,0,7617.703708201186,6884.243624732475,0
327376318,140.8103904,41.7824702,10.999958224873344,6,5,1,0,7525.129032856703,6887.409307466886,0
327377195,140.8139141,41.7774584,22.78030104420503,5,0,0,1,8153.198988254182,7109.547407401213,0
353733483,140.7263568,41.7731441,1.345143915865212,7,93,1,6,8358.233886666752,154.87571194513225,1
353733671,140.7253103,41.771686,0.709558997593338,4,89,0,8,8541.27057521984,238.38319788963005,1
357745566,140.7116255,41.753924,45.42736240851454,7,0,0,3,10804.850792258094,2463.8219421087456,6
357745569,140.718161,41.7525943,3.756586049134819,6,0,0,5,10724.871879105469,2352.6558542048447,6
361172044,140.7239013,41.773078,0.5708514824043137,3,60,0,6,8448.224436577484,344.8236647322717,1
361172045,140.7228699,41.7719577,0.3764558518562519,3,57,0,5,8596.980374643594,427.04317731623985,1
